q-код	Артикул	Раздел	Тип	Производитель	Наименование	Название	Коллекция	Размер	Цвет	Артикулы связанных товаров	Вес упаковки	Плиток в упаковке	Метраж упаковки	Единица измерения	Изображение	Интерьеры	Домус	Цена	Описание Товара	Назначение	Тип поверхности	Рисунок	Оформление															
q15815	16009	Неаполитанская коллекция	Настенная плитка	Керама Марацци	16009 Авеллино фисташковый 7.4*15 керамическая плитка	Авеллино	Неаполитанская коллекция	7,4*15	фисташковый		13,2813	96	1,0700	кв.м	16009.jpg			1049,02		Плитка для ванной	глянцевая	моноколор	avellino5.jpg															
q15807	17004	Неаполитанская коллекция	Настенная плитка	Керама Марацци	17004 Авеллино голубой 15*15 керамическая плитка	Авеллино	Неаполитанская коллекция	15*15	голубой		12,8125	48	1,0800	кв.м	17004.jpg			1049,02		Плитка для ванной	глянцевая	моноколор	avellino6.jpg															
q15808	17006	Неаполитанская коллекция	Настенная плитка	Керама Марацци	17006 Авеллино белый 15*15 керамическая плитка	Авеллино	Неаполитанская коллекция	15*15	белый		12,8125	48	1,0800	кв.м	17006.jpg			1049,02		Плитка для ванной	глянцевая	моноколор																
q15809	17007	Неаполитанская коллекция	Настенная плитка	Керама Марацци	17007 Авеллино серый 15*15 керамическая плитка	Авеллино	Неаполитанская коллекция	15*15	серый		12,8125	48	1,0800	кв.м	17007.jpg			1049,02		Плитка для ванной	глянцевая	моноколор																
q15938	17008	Неаполитанская коллекция	Настенная плитка	Керама Марацци	17008 Авеллино коричневый 15*15 керамическая плитка	Авеллино	Неаполитанская коллекция	15*15	коричневый		12,8125	48	1,0800	кв.м	17008.jpg			1049,02		Плитка для ванной	глянцевая	моноколор																
q15939	17009	Неаполитанская коллекция	Настенная плитка	Керама Марацци	17009 Авеллино фисташковый 15*15 керамическая плитка	Авеллино	Неаполитанская коллекция	15*15	фисташковый		12,8125	48	1,0800	кв.м	17009.jpg			1049,02		Плитка для ванной	глянцевая	моноколор																
q15811	16005	Неаполитанская коллекция	Настенная плитка	Керама Марацци	16005 Авеллино чёрный 7.4*15 керамическая плитка	Авеллино	Неаполитанская коллекция	7,4*15	черный		13,2813	96	1,0700	кв.м	16005.jpg			1234,28		Плитка для ванной	глянцевая	моноколор																
q15937	17005	Неаполитанская коллекция	Настенная плитка	Керама Марацци	17005 Авеллино чёрный 15*15 керамическая плитка	Авеллино	Неаполитанская коллекция	15*15	черный		12,8125	48	1,0800	кв.м	17005.jpg			1234,28		Плитка для ванной	глянцевая	моноколор																
q15826	16015	Неаполитанская коллекция	Настенная плитка	Керама Марацци	16015 Авеллино голубой структура mix 7.4*15 керамическая плитка	Авеллино	Неаполитанская коллекция	7,4*15	голубой		13,7500	88	0,9800	кв.м	16015.jpg			1102,12		Плитка для ванной	глянцевая	моноколор																
q15825	16017	Неаполитанская коллекция	Настенная плитка	Керама Марацци	16017 Авеллино белый структура mix 7.4*15 керамическая плитка	Авеллино	Неаполитанская коллекция	7,4*15	белый		13,7500	88	0,9800	кв.м	16017.jpg			1102,12		Плитка для ванной	глянцевая	моноколор																
